"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 26 10:19:11 EEST 2022","Tue Jul 26 10:19:26 EEST 2022","15199","","JS alerts test suit","","JS alerts test suit","JS confirm with accept test case #2","JS confirm with accept test case #2",""
"passed","Tue Jul 26 10:17:56 EEST 2022","Tue Jul 26 10:18:11 EEST 2022","15178","","DropDown Test suit","","DropDown Test suit","Dropdown test case #1","Dropdown test case #1",""
"passed","Tue Jul 26 10:19:41 EEST 2022","Tue Jul 26 10:20:01 EEST 2022","20221","","JS alerts test suit","","JS alerts test suit","JS prompt test case #4","JS prompt test case #4",""
"passed","Tue Jul 26 10:18:13 EEST 2022","Tue Jul 26 10:18:30 EEST 2022","17360","","File upload test suit","","File upload test suit","File upload test case #1","File upload test case #1",""
"passed","Tue Jul 26 10:18:32 EEST 2022","Tue Jul 26 10:18:54 EEST 2022","21224","","Form Authentication test suit","","Form Authentication test suit","Login page test case #1","Login page test case #1",""
"passed","Tue Jul 26 10:20:33 EEST 2022","Tue Jul 26 10:20:43 EEST 2022","10168","","Notification Messages test suit","","Notification Messages test suit","Multiple windows test case #1","Multiple windows test case #1",""
"passed","Tue Jul 26 10:18:55 EEST 2022","Tue Jul 26 10:19:11 EEST 2022","15227","","JS alerts test suit","","JS alerts test suit","JS alert test case #1","JS alert test case #1",""
"passed","Tue Jul 26 10:19:26 EEST 2022","Tue Jul 26 10:19:41 EEST 2022","15187","","JS alerts test suit","","JS alerts test suit","JS confirm with decline test case #3","JS confirm with decline test case #3",""
"passed","Tue Jul 26 10:17:43 EEST 2022","Tue Jul 26 10:17:54 EEST 2022","11188","","Context menu test suit","","Context menu test suit","Context menu test case #1","Context menu test case #1",""
"passed","Tue Jul 26 10:20:04 EEST 2022","Tue Jul 26 10:20:30 EEST 2022","25296","","Multiple windows test suit","","Multiple windows test suit","Multiple windows test case #1","Multiple windows test case #1",""
